home_club_id,home_club_position,home_club_goals,home_club_manager_name,home_club_name,game_id
1506,7,0,Tolunay Kafkas,Kardemir KarabÃ¼kspor,2346351
2672,8,2,Takis Lemonis,APO Levadiakos,2351889
6676,3,2,Sakis Tsiolis,Asteras Tripolis,2351910
653,16,0,Pavlos Dermitzakis,OFI Crete FC,2351917
683,1,4,Michel,Olympiacos Piraeus,2351928
5220,8,0,Giannis Petrakis,GS Ergotelis,2351969
1041,1,4,RÃ©mi Garde,Olympique Lyon,2353758
276,5,2,Andrea Mandorlini,Hellas Verona,2359306
410,11,1,Francesco Guidolin,Udinese Calcio,2359334
1038,16,2,SiniÅ¡a MihajloviÄ‡,UC Sampdoria,2359352
5,11,3,Massimiliano Allegri,AC Milan,2359381
430,4,2,Vincenzo Montella,ACF Fiorentina,2359425
430,4,0,Vincenzo Montella,ACF Fiorentina,2359460
410,14,1,Francesco Guidolin,Udinese Calcio,2359471
800,7,2,Stefano Colantuono,Atalanta BC,2359498
46,5,0,Walter Mazzarri,Inter Milan,2359504
410,14,0,Francesco Guidolin,Udinese Calcio,2359532
5,7,3,Clarence Seedorf,AC Milan,2359539
2423,,2,Carlos CondeÃ§o,CD Santa Clara,2360139
6195,,2,Rafael BenÃ­tez,SSC Napoli,2367096
449,,3,Mustafa Resit Akcay,Trabzonspor,2367198
339,,1,Juande Ramos,Dnipro Dnipropetrovsk (-2020),2367237
16247,,1,Volodymyr Mazyar,PFK Stal Kamyanske (-2018),2367648
6993,,0,Mykola Pavlov,FK Mariupol,2367650
141,,3,Roberto Mancini,Galatasaray,2368442
371,,0,Neil Lennon,Celtic FC,2368466
683,,3,Michel,Olympiacos Piraeus,2368481
244,,1,JosÃ© Anigo,Olympique Marseille,2368487
12321,,4,Ricardo RodrÃ­guez,Girona FC,2368762
2424,,4,JoÃ£o de Deus,Gil Vicente FC,2369976
12438,11,0,Yuriy Kalitvintsev,Volga Nizhniy Novgorod (- 2016),2371144
331,,1,Javi Gracia,CA Osasuna,2382254
621,,4,Ernesto Valverde,Athletic Bilbao,2382266
141,,1,Roberto Mancini,Galatasaray,2384520
141,,1,Roberto Mancini,Galatasaray,2385041
131,,5,Gerardo Martino,FC Barcelona,2421870
265,4,1,,Panathinaikos Athens,2422830
12,,3,Rudi Garcia,AS Roma,2423328
605,18,1,Soulis Papadopoulos,Aris Thessaloniki,2423714
441,16,2,Lawrie Sanchez,Apollon Smyrnis,2423718
281,,2,Manuel Pellegrini,Manchester City,2423908
128,11,0,Reiner Maurer,AO Xanthi,2423919
2671,9,0,Giannis Petrakis,PAS Giannina,2428055
683,,0,Michel,Olympiacos Piraeus,2428286
1090,,1,Dick Advocaat,AZ Alkmaar,2437594
4128,6,5,Stanislav Cherchesov,Amkar Perm,2446127
3008,,5,Steve Bruce,Hull City,2446415
605,18,0,Soulis Papadopoulos,Aris Thessaloniki,2449818
6418,9,0,Makis Chavos,Panetolikos GFS,2450854
1304,14,1,Jan de Jonge,Heracles Almelo,2452013
605,18,0,Georgios Firos,Aris Thessaloniki,2452114
6993,11,0,Mykola Pavlov,FK Mariupol,2453103
16245,9,3,,FK Sevastopol (- 2014),2453109
660,1,2,Mircea Lucescu,Shakhtar Donetsk,2453110
11,,3,ArsÃ¨ne Wenger,Arsenal FC,2458586
306,12,1,Dwight Lodeweges,SC Heerenveen,2459587
499,13,2,Peter Bosz,Vitesse Arnhem,2459599
1269,2,2,Ron Jans,PEC Zwolle,2459609
1435,12,3,Foeke Booy,Go Ahead Eagles,2459665
1268,14,2,Henk Fraser,ADO Den Haag,2459667
133,6,0,Henk de Jong,SC Cambuur Leeuwarden,2459671
1090,9,2,John van den Brom,AZ Alkmaar,2459673
798,11,2,Marinus Dijkhuizen,Excelsior Rotterdam,2459675
1455,18,0,Ernie Brandts,FC Dordrecht,2459703
133,8,0,Henk de Jong,SC Cambuur Leeuwarden,2459707
1269,5,3,Ron Jans,PEC Zwolle,2459717
133,6,2,Henk de Jong,SC Cambuur Leeuwarden,2459731
798,13,0,Marinus Dijkhuizen,Excelsior Rotterdam,2459737
610,2,2,Frank de Boer,Ajax Amsterdam,2459739
1455,18,0,Ernie Brandts,FC Dordrecht,2459759
133,8,2,Henk de Jong,SC Cambuur Leeuwarden,2459789
798,13,3,Marinus Dijkhuizen,Excelsior Rotterdam,2459807
1268,14,0,Henk Fraser,ADO Den Haag,2459814
202,8,2,Erwin van de Looi,FC Groningen,2459816
499,5,3,Peter Bosz,Vitesse Arnhem,2459820
