away_club_id,away_club_position,away_club_goals,away_club_manager_name,away_club_name,game_id
3008,12,1,Steve Bruce,Hull City,2332021
405,10,3,Paul Lambert,Aston Villa,2332041
631,2,4,JosÃ© Mourinho,Chelsea FC,2332050
931,18,0,Martin Jol,Fulham FC,2332053
873,20,0,Tony Pulis,Crystal Palace,2332074
29,6,3,Roberto MartÃ­nez,Everton FC,2332184
11,2,2,ArsÃ¨ne Wenger,Arsenal FC,2332188
985,7,0,David Moyes,Manchester United,2332222
631,1,1,JosÃ© Mourinho,Chelsea FC,2332223
984,15,3,Pepe Mel,West Bromwich Albion,2332234
3008,13,0,Steve Bruce,Hull City,2332235
281,1,3,Manuel Pellegrini,Manchester City,2332259
180,8,0,Mauricio Pochettino,Southampton FC,2332288
180,8,1,Mauricio Pochettino,Southampton FC,2332298
2451,2,0,John Hughes,Inverness Caledonian Thistle FC,2334909
465,10,2,Danny Lennon,St. Mirren FC,2334939
2578,5,2,Tommy Wright,St. Johnstone FC,2334948
43,12,1,Gary Locke,Heart of Midlothian FC,2334986
903,7,2,Terry Butcher,Hibernian FC,2334996
370,3,1,Derek McInnes,Aberdeen FC,2335021
232,1,4,Valeriy Karpin,Spartak Moscow,2335072
232,3,1,Valeriy Karpin,Spartak Moscow,2335158
2410,4,0,Leonid Slutski,CSKA Moscow,2335181
232,3,1,Valeriy Karpin,Spartak Moscow,2335202
2410,5,2,Leonid Slutski,CSKA Moscow,2335209
232,5,1,Dmitriy Gunko,Spartak Moscow,2335225
3725,12,1,Rashid Rakhimov,Akhmat Grozny,2335226
2700,16,0,Gadzhi Gadzhiev,Anzhi Makhachkala ( -2022),2335237
121,4,0,Dan Petrescu,Dynamo Moscow,2335245
1083,8,0,Miodrag Bozovic,FK Rostov,2335248
12438,13,1,Yuriy Kalitvintsev,Volga Nizhniy Novgorod (- 2016),2335264
2410,3,3,Leonid Slutski,CSKA Moscow,2335276
12438,15,0,Andrey Talalaev,Volga Nizhniy Novgorod (- 2016),2335284
932,2,3,Leonid Kuchuk,Lokomotiv Moscow,2335291
2696,14,1,Vladimir Kukhlevskiy,Krylya Sovetov Samara,2335296
4482,14,0,Vitaliy Kvartsyanyi,Volyn Lutsk,2335657
6414,2,2,Myron Markevych,Metalist Kharkiv (- 2016),2335661
2227,15,0,Giannis Christopoulos,SK Tavriya Simferopol ( - 2022),2335662
339,2,3,Juande Ramos,Dnipro Dnipropetrovsk (-2020),2335681
6994,12,1,Sergiy Puchkov,Metalurg Zaporizhya (-2016),2335714
2783,11,1,Sergey Tashuev,Metalurg Donetsk (- 2015),2335726
2740,6,1,Anatoliy Momot,Vorskla Poltava,2335761
6994,14,1,Oleg Taran,Metalurg Zaporizhya (-2016),2335766
2740,8,1,Anatoliy Momot,Vorskla Poltava,2335773
2783,7,1,Sergey Tashuev,Metalurg Donetsk (- 2015),2335778
6414,3,3,Igor Rakhaev,Metalist Kharkiv (- 2016),2335782
660,1,3,Mircea Lucescu,Shakhtar Donetsk,2335794
6414,4,2,Igor Rakhaev,Metalist Kharkiv (- 2016),2335805
6414,3,2,Igor Rakhaev,Metalist Kharkiv (- 2016),2335817
660,1,4,Mircea Lucescu,Shakhtar Donetsk,2335835
4750,13,0,Bruno Saraiva,SC Olhanense,2340228
4750,12,1,Abel Xavier,SC Olhanense,2340276
1085,12,1,JosÃ© Couceiro,VitÃ³ria SetÃºbal FC,2340284
4750,15,1,Giuseppe Galderisi,SC Olhanense,2340365
1085,8,1,JosÃ© Couceiro,VitÃ³ria SetÃºbal FC,2340384
982,4,2,Manuel Machado,CD Nacional,2340421
1084,14,0,Bernd Schuster,MÃ¡laga CF,2341044
940,9,2,Luis Enrique,Celta de Vigo,2341079
13,2,2,Diego Simeone,AtlÃ©tico de Madrid,2341106
331,12,0,Javi Gracia,CA Osasuna,2341110
1084,14,2,Bernd Schuster,MÃ¡laga CF,2341112
16795,13,1,Lucas Alcaraz,Granada CF,2341123
940,15,5,Luis Enrique,Celta de Vigo,2341134
3368,9,1,JoaquÃ­n CaparrÃ³s,Levante UD,2341144
3368,13,0,JoaquÃ­n CaparrÃ³s,Levante UD,2341200
3709,7,0,Luis GarcÃ­a,Getafe CF,2341227
1084,15,1,Bernd Schuster,MÃ¡laga CF,2341237
621,4,1,Ernesto Valverde,Athletic Bilbao,2341319
131,3,0,Gerardo Martino,FC Barcelona,2341332
499,6,3,Peter Bosz,Vitesse Arnhem,2342346
133,16,0,Dwight Lodeweges,SC Cambuur Leeuwarden,2342374
1090,7,0,Dick Advocaat,AZ Alkmaar,2342394
1090,6,2,Dick Advocaat,AZ Alkmaar,2342439
234,4,2,Ronald Koeman,Feyenoord Rotterdam,2342460
1090,7,0,Dick Advocaat,AZ Alkmaar,2342472
499,5,1,Peter Bosz,Vitesse Arnhem,2342483
1269,9,1,Ron Jans,PEC Zwolle,2342484
1304,13,0,Jan de Jonge,Heracles Almelo,2342495
1304,14,1,Jan de Jonge,Heracles Almelo,2342552
234,2,1,Ronald Koeman,Feyenoord Rotterdam,2342556
1304,16,1,Jan de Jonge,Heracles Almelo,2342576
43,12,0,Gary Locke,Heart of Midlothian FC,2345732
2578,5,0,Tommy Wright,St. Johnstone FC,2345736
20,9,1,Christoph Daum,Bursaspor,2346082
6894,17,0,Fuat Capa,Kayseri Erciyesspor,2346086
19771,8,0,Hamza Hamzaoglu,Akhisarspor,2346094
