player_id,player_code
168171,stefano-delogu
168887,gianni-van-landschoot
168951,filip-jankovic
169362,luka-zahovic
169504,gilles-lentz
169841,vladimir-golemic
169931,conor-brennan
170239,orhan-ovacikli
170245,artem-favorov
170517,marius-funk
170895,garry-rodrigues
170952,jordan-astier
170962,nicolas-saint-ruf
171374,robbie-crawford
171382,jack-duncan
172163,ugur-ciftci
173192,mikey-devlin
173580,ryan-edwards
173591,jamie-maclaren
173832,michael-doughty
174042,juan-garro
174842,el-arbi-hillel-soudani
175179,luccas-claro
175377,piotm
175593,euan-murray
175912,lars-veldwijk
175914,alex-barrera
176130,lorenzo-rosseti
176912,steven-morrissey
176936,julian-cuesta
178217,pol-garcia
178400,wilker-angel
179658,luca-savelloni
179844,callum-tapping
180137,jonathan-ring
181223,nikita-permyakov
182582,joris-van-overeem
183138,ryan-finnie
183283,jordan-graham
183321,kevin-mbabu
184922,ambroise-oyongo
184953,chidi-osuchukwu
185147,nick
186357,andre-luiz
188689,andre-dias
189070,modou-barrow
189458,emiliano-velazquez
189507,jonathan-black
189765,ivan-markovic
190393,corentin-tolisso
190705,bruno-pirri
191391,yusuf-erdogan
191792,craig-watson
192035,uche-kalu
192360,ryan-edwards
192539,kofi-schulz
192557,jackson-irvine
192565,leroy-sane
193079,scott-fraser
193289,daniel-avramovski
193784,carlos-clerc
193861,ryan-fulton
193898,calum-waters
194438,francois-marquet
194549,simy
196158,brahim-darri
196655,kemal-ruzgar
197471,roberto-gagliardini
197474,luca-milesi
197493,luca-marchignoli
197521,vukan-savicevic
198859,joao-schmidt
198967,mihkel-ainsalu
199263,david-speziale
199553,jack-leitch
199730,claudio-andreoli
199859,owusu-ansah-kontor
200057,elvis-kabashi
200985,arnold
202840,maksym-drachenko
202984,roque-mesa
203043,pedro-bigas
203055,marco-iannascoli
203087,william-amorim
203199,johnny-hunt
203309,ethem-pulgir
203464,jamar-loza
203899,stijn-derkx
204180,atabey-cicek
204189,okan-kocuk
206430,albert-roussos
206843,andrija-zivkovic
206930,paul-kok
206947,kevin-rodrigues
206950,salimo-sylla
207376,konstantinos-bouloulis
207571,alex-soares
209154,wanderson-lima
210009,marwane-saadane
210140,biel-company
210142,charlie-took
210143,alex-gallar
210178,pablo-mari
211251,darwin-machis
211325,badou-ndiaye
211722,abel-khaled
212243,dmytro-myshnyov
212260,dmitriy-korobov
212391,roger-marti
212730,kyle-de-silva
212931,faris-handzic
213847,jordan-roberts
213974,artem-gabelok
213983,yuriy-yastrub
214252,arshak-koryan
214257,elmir-nabiullin
214441,dimitrios-konstantinidis
214623,antonis-tsiaras
215652,rafidine-abdullah
216172,axel-gulin
216263,aymen-souda
216270,ricki-lamie
216870,nacho-vidal
217036,aleksandr-zakarlyuka
217684,jung-bin-park
217879,patrik-hrosovsky
218299,jan-kliment
218306,cesar-falletti
220785,ludovico-palumbo
220969,radoslaw-murawski
220999,fabrice-ondoa
221267,bugra-cagiran
222556,admir-bajrovic
222636,florian-escales
223047,emerson-hyndman
223890,rober-correa
223920,adam-stahl
224001,teije-ten-den
224499,dren-feka
225077,jackson-longridge
225569,kerim-mrabti
226151,sean-kelly
227015,toni-datkovic
227239,michael-ngadeu
229004,moussa-dembele
229007,lyes-houri
229768,djarno-hofland
229815,alejandro-sanz
230968,alexandros-nikolias
231792,christos-gromitsaris
232848,samuel-asamoah
232964,emiliano-marcondes
233072,angel-de-la-calzada
233085,phakamani-mngadi
233750,hicham-belkaroui
235108,luuk-koopmans
235275,jordi-vanlerberghe
235745,michalis-manias
235924,marco-russu
236783,albert-rafetraniaina
237473,anete
237662,breel-embolo
238029,liam-gordon
238500,dario-melnjak
238537,wladimiro-falcone
238632,emmanuel-debordeaux
238717,pablo-perez
241076,emmanuel-gyasi
