club_id,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_seats,stadium_name,last_season
383,NL1,27,24.5,14,51.9,10,35000,Philips Stadion,2023
499,NL1,26,23.3,11,42.3,5,21248,GelreDome,2023
610,NL1,25,23.3,13,52,11,55600,Johan Cruijff ArenA,2023
6414,UKR1,0,,0,,0,38685,OSK Metalist,2015
6993,UKR1,0,,0,,0,12680,Stadion im. Volodymyra Boyko,2021
750,FR1,29,23,9,31,1,20005,Stade Auguste-Bonal,2013
762,GB1,29,27,14,48.3,12,52338,St James' Park,2023
825,TR1,41,23.9,1,2.4,0,34930,Eskişehir Yeni Stadyum,2015
1041,FR1,26,25,16,61.5,5,59186,Groupama Stadium,2023
10690,UKR1,31,23.2,5,16.1,2,4700,Livyi Bereg Arena,2023
1084,ES1,27,27.9,8,29.6,0,30044,La Rosaleda,2017
1148,GB1,28,25.7,20,71.4,16,17250,Gtech Community Stadium,2023
1162,FR1,27,25.7,12,44.4,4,20500,Stade Michel-d'Ornano,2018
1184,BE1,25,23,18,72,10,24956,Cegeka Arena,2023
1186,RU1,28,25.6,6,23.1,3,81000,Luzhniki Stadium,2022
128,GR1,0,,0,,0,7361,Xanthi Arena,2019
1283,NL1,17,25.6,6,35.3,0,8309,De Oude Meerdijk,2022
142,ES1,23,26,6,26.1,1,33608,La Romareda,2012
16,L1,28,25.3,13,46.4,19,81365,SIGNAL IDUNA PARK,2023
202,NL1,29,22.9,10,34.5,1,22555,Euroborg,2022
2288,GB1,22,24.8,17,77.3,4,21088,Swansea.com Stadium,2017
237,ES1,23,28.1,10,43.5,5,20500,Mallorca Son Moix,2023
2381,TR1,28,28.3,13,46.4,4,27532,Yeni 4 Eylül Stadı,2023
2423,PO1,38,25.4,20,52.6,2,12500,Estádio de São Miguel,2022
2425,PO1,25,27.2,11,44,0,5300,Estádio dos Arcos,2023
2451,SC1,26,24.5,9,34.6,0,7750,Tulloch Caledonian Stadium,2016
265,GR1,29,28.4,23,79.3,10,15000,Apostolos Nikolaidis,2023
2832,TR1,32,26.5,15,46.9,5,33502,Kalyon Stadyumu,2023
3558,FR1,5,26.8,1,20,1,4050,Stade Ange-Casanova,2015
4102,IT1,25,23.6,6,24,1,5510,Sandro Cabassi,2015
42,L1,28,25,6,21.4,1,49000,Heinz-von-Heiden-Arena,2018
641,GB1,25,26.1,8,32,6,33746,Riverside Stadium,2016
667,FR1,27,24,14,51.9,9,26109,Stade de la Meinau,2023
681,ES1,26,24.7,7,26.9,9,39313,Reale Arena,2023
873,GB1,27,25.8,12,44.4,8,26047,Selhurst Park,2023
1032,GB1,30,23.1,14,46.7,5,24161,Select Car Leasing Stadium,2012
1039,GB1,26,25.9,15,57.7,8,18360,Loftus Road Stadium,2014
1244,ES1,23,28.6,8,34.8,3,12454,Butarque,2019
14171,FR1,27,27.4,6,22.2,1,2500,Stade Camille Fournier,2014
16704,RU1,23,24.4,13,56.5,9,35179,Stadion Krasnodar,2023
