game_id,competition_id,season,round,date,aggregate,competition_type
2656852,CIT,2015,Semi-Finals 2nd Leg,01/03/16,5:00,domestic_cup
2724825,CIT,2016,First Round,30/07/16,2:01,domestic_cup
2735698,CIT,2016,Second Round,05/08/16,2:01,domestic_cup
2740234,ELQ,2016,Qualifying Round 1st leg,18/08/16,4:00,international_cup
2744425,CIT,2016,Third Round,12/08/16,1:00,domestic_cup
2747354,CIT,2016,Fourth Round,29/11/16,4:00,domestic_cup
2752316,ELQ,2016,Qualifying Round 2nd leg,25/08/16,0:00,international_cup
2762835,CDR,2016,Third Round Replay,12/10/16,3:01,domestic_cup
2809425,FAC,2016,Third Round,08/01/17,0:00,domestic_cup
2831534,EL,2016,last 16 2nd leg,16/03/17,1:00,international_cup
2867272,CLQ,2017,Second Round 2nd leg,19/07/17,1:02,international_cup
2873431,UKRP,2017,First Round,08/07/17,3:00,domestic_cup
2882174,ELQ,2017,Second Round 1st leg,13/07/17,2:00,international_cup
2882206,ELQ,2017,Second Round 2nd leg,20/07/17,3:01,international_cup
2893397,ELQ,2017,3rd round 1st leg,27/07/17,1:01,international_cup
2894107,ELQ,2017,3rd round 2nd leg,03/08/17,0:01,international_cup
2895675,POCP,2017,Second Round,29/07/17,0:01,domestic_cup
2895681,POCP,2017,Second Round,02/09/17,2:00,domestic_cup
2905732,CLQ,2017,Qualifying Round 2nd leg,23/08/17,2:00,international_cup
2905746,ELQ,2017,4th round 2nd leg,24/08/17,1:02,international_cup
2919812,EL,2017,Group H,28/09/17,0:01,international_cup
2919817,EL,2017,Group E,28/09/17,2:02,international_cup
2919819,EL,2017,Group D,28/09/17,3:02,international_cup
2919848,EL,2017,Group E,19/10/17,3:01,international_cup
2919857,EL,2017,Group F,02/11/17,3:00,international_cup
2919858,EL,2017,Group F,02/11/17,1:02,international_cup
2919896,EL,2017,Group E,23/11/17,4:00,international_cup
2919922,EL,2017,group J,07/12/17,1:01,international_cup
2919925,EL,2017,group I,07/12/17,0:00,international_cup
2925250,CDR,2017,Third Round Replay,21/09/17,1:00,domestic_cup
2925756,GRP,2017,Group 3,24/10/17,1:00,domestic_cup
2929835,CDR,2017,intermediate stage 2nd leg,29/11/17,0:01,domestic_cup
2929842,CDR,2017,intermediate stage 2nd leg,29/11/17,5:00,domestic_cup
2929843,CDR,2017,intermediate stage 2nd leg,28/11/17,1:01,domestic_cup
3076730,CLQ,2018,Second Round 1st leg,25/07/18,3:01,international_cup
3084029,CIT,2018,Second Round,05/08/18,8:07,domestic_cup
3098025,CL,2018,Group H,07/11/18,3:01,international_cup
3098032,CL,2018,Group C,28/11/18,3:01,international_cup
3098684,EL,2018,group L,04/10/18,1:00,international_cup
3127443,SFA,2018,Fourth Round,19/01/19,1:01,domestic_cup
3131901,FAC,2018,Second Round Replay,11/12/18,0:01,domestic_cup
3135875,EL,2018,intermediate stage 2nd leg,21/02/19,3:00,international_cup
3136618,FAC,2018,Third Round,05/01/19,0:01,domestic_cup
3205096,ELQ,2019,First Round 1st leg,11/07/19,2:01,international_cup
3222667,CLQ,2019,Second Round 1st leg,23/07/19,5:00,international_cup
3229105,CIT,2019,First Round,04/08/19,2:00,domestic_cup
3232470,ELQ,2019,3rd round 2nd leg,14/08/19,2:01,international_cup
3233028,ELQ,2019,3rd round 2nd leg,15/08/19,3:00,international_cup
3233032,ELQ,2019,3rd round 2nd leg,14/08/19,0:02,international_cup
3242061,UKRP,2019,First Round,20/08/19,5:00,domestic_cup
3244628,ELQ,2019,Qualifying Round 1st leg,22/08/19,3:01,international_cup
3252190,CL,2019,Group C,22/10/19,2:02,international_cup
3252417,EL,2019,Group B,19/09/19,1:00,international_cup
3252443,EL,2019,Group C,03/10/19,2:02,international_cup
3252481,EL,2019,group J,24/10/19,1:00,international_cup
3277206,NLP,2019,Second Round,17/12/19,0:02,domestic_cup
3280148,GRP,2019,5th round 2nd leg,05/12/19,3:00,domestic_cup
3289605,CIT,2019,Round of 16,14/01/20,2:00,domestic_cup
3293376,KLUB,2019,Final,21/12/19,1:00,other
3300790,FAC,2019,Third Round,05/01/20,2:01,domestic_cup
3376149,RUP,2014,Third Round,12/08/14,1:00,domestic_cup
3412116,RUP,2020,Third Round,26/08/20,2:01,domestic_cup
3461272,CIT,2020,Third Round,28/10/20,2:01,domestic_cup
3461273,CIT,2020,Third Round,28/10/20,2:01,domestic_cup
2579917,SC1,2015,7. Matchday,12/09/15,0:01,domestic_league
2579966,SC1,2015,15. Matchday,21/11/15,2:01,domestic_league
3963003,POCP,2022,Group C,21/11/22,2:03,domestic_cup
2581213,DK1,2015,3. Matchday,31/07/15,2:01,domestic_league
2581328,DK1,2015,22. Matchday,20/03/16,2:00,domestic_league
2581344,DK1,2015,24. Matchday,11/04/16,0:00,domestic_league
2581384,DK1,2015,31. Matchday,22/05/16,4:02,domestic_league
2581809,L1,2015,19. Matchday,30/01/16,3:00,domestic_league
2587010,FR1,2015,15. Matchday,28/11/15,2:00,domestic_league
2587044,BE1,2015,3. Matchday,09/08/15,0:00,domestic_league
2588907,NL1,2015,2. Matchday,16/08/15,1:01,domestic_league
2589134,NL1,2015,28. Matchday,18/03/16,2:01,domestic_league
2594546,ES1,2015,8. Matchday,18/10/15,0:02,domestic_league
2594764,ES1,2015,30. Matchday,19/03/16,0:01,domestic_league
2594816,ES1,2015,35. Matchday,24/04/16,2:00,domestic_league
2597430,UKR1,2015,5. Matchday,16/08/15,0:02,domestic_league
2603987,IT1,2015,2. Matchday,30/08/15,4:00,domestic_league
2604016,IT1,2015,5. Matchday,24/09/15,0:01,domestic_league
2604124,IT1,2015,16. Matchday,13/12/15,1:00,domestic_league
2604286,IT1,2015,32. Matchday,09/04/16,1:00,domestic_league
2609389,PO1,2015,8. Matchday,24/10/15,0:02,domestic_league
2609426,PO1,2015,13. Matchday,14/12/15,4:03,domestic_league
2609438,PO1,2015,14. Matchday,21/12/15,1:01,domestic_league
2609444,PO1,2015,15. Matchday,02/01/16,3:01,domestic_league
2611189,UKRP,2015,Second Round,22/08/15,0:03,domestic_cup
2613517,RU1,2015,7. Matchday,30/08/15,2:01,domestic_league
2613630,PO1,2015,27. Matchday,20/03/16,2:00,domestic_league
2613646,PO1,2015,28. Matchday,02/04/16,2:00,domestic_league
2613654,PO1,2015,29. Matchday,09/04/16,1:02,domestic_league
2617070,BE1,2015,5. Matchday,22/08/15,0:00,domestic_league
2617072,BE1,2015,5. Matchday,23/08/15,1:02,domestic_league
2618595,CL,2015,Group A,03/11/15,1:00,international_cup
2618600,CL,2015,Group D,03/11/15,1:03,international_cup
2624308,UKR1,2015,19. Matchday,19/03/16,1:02,domestic_league
2624876,BE1,2015,7. Matchday,13/09/15,0:01,domestic_league
2630745,GRP,2015,Group 8,16/12/15,0:01,domestic_cup
2633824,CDR,2015,4th round 1st leg,02/12/15,2:00,domestic_cup
2636382,POCP,2015,Group C,28/12/15,4:01,domestic_cup
2645537,SC1,2015,20. Matchday,23/02/16,2:00,domestic_league
2646020,EL,2015,intermediate stage 2nd leg,25/02/16,0:01,international_cup
2648080,GRP,2015,last 16 2nd leg,14/01/16,3:00,domestic_cup
2648376,BE1,2015,21. Matchday,26/12/15,1:04,domestic_league
2648380,BE1,2015,21. Matchday,26/12/15,2:02,domestic_league
2653531,GR1,2015,19. Matchday,25/01/16,0:00,domestic_league
2682272,EL,2015,Semi-Finals 2nd Leg,05/05/16,3:01,international_cup
2697635,DK1,2016,18. Matchday,25/11/16,1:05,domestic_league
